表名,估算行数
"TBLINVFGDINVENTORY","0"
"TBLINVFGDINVENTORYCOMPONENT","0"
"TBLINVFGDINVENTORYCOMPONENTLOG","0"
"TBLINVFGDINVENTORYLOG","0"
"TBLINVINVENTORYBASIS","357"
"TBLINVINVENTORYPROPERTY","0"
"TBLINVLOCATORBASIS","0"
"TBLINVMATERIALADJUSTBASIS","0"
"TBLINVMATERIALADJUSTDETAIL","0"
"TBLINVMATERIALINBASIS","0"
"TBLINVMATERIALINDETAIL","0"
"TBLINVMATERIALOUTBASIS","0"
"TBLINVMATERIALOUTDETAIL","0"
"TBLINVMATERIALRETURNBASIS","0"
"TBLINVMATERIALRETURNDETAIL","0"
"TBLINVMATERIALWIPRETURNBASIS","0"
"TBLINVMATERIALWIPRETURNDETAIL","0"
"TBLINVPREORDERBASIS","0"
"TBLINVPREORDERDETAIL","0"
"TBLINVRAWINVENTORY","0"
"TBLINVRAWINVENTORYLOC","0"
"TBLINVREVERSE_LOG","0"
"TBLINVSCRINBASIS","4"
"TBLINVSCRINCOMPONENT","0"
"TBLINVSCRINDETAIL","4"
"TBLINVSCRINDETAIL_PCSNO","0"
"TBLINVSCRINFAILBIN","0"
"TBLINVSCRINVENTORY","4"
"TBLINVSCRINVENTORYCOMPONENT","0"
"TBLINVSCRINVENTORYFAILBIN","0"
"TBLINVSEMIINBASIS","0"
"TBLINVSEMIINCOMPONENT","0"
"TBLINVSEMIINDETAIL","0"
"TBLINVSEMIINVENTORY","0"
"TBLINVSEMIINVENTORYCOMPONENT","0"
"TBLINVSEMIOUTBASIS","0"
"TBLINVSEMIOUTCOMPONENT","0"
"TBLINVSEMIOUTDETAIL","0"
"TBLINVSTOCKIN_WMSLOG","0"
"TBLINVTRANSACTIONLOG","0"
"TBLINVTRANSACTIONSTATE","0"
"TBLINVWIP_COMPONENTSCRAP","0"
"TBLINVWIP_FAILBIN","0"
"TBLINVWIP_INCOMING","0"
"TBLINVWIP_INCOMING_COMP","0"
"TBLINVWIP_MOENTRUST","0"
"TBLINVWIP_MORETURN","0"
"TBLINVWIP_RAW_SCRAPERROR","0"
"TBLINVWIP_RAW_SCRAPLOG","0"
"tblINVWIP_ScarpCancelLog","0"
"TBLINVWIP_SCRAP","1393"
"TBLINVWIP_SCRAP_MIS_JUDGE","0"
"TBLINVWIP_SCRAPLOG","10"
"TBLINVWIPINVENTORY_COMPONENT","0"
"TBLINVWIPINVENTORY_RAW","0"
"TBLINVWIPINVENTORY_SEMI","41060"
"TBLINVWIPINVENTORY_SEMI_WAITOP","0"
"TBLINVWIPINVENTORY_SEMILOG","51086"
"TBLINVWIPTOERPSYNCBASIS","0"
"TBLINVWIPTOERPSYNCDATA","0"
"TBLISUISSUEATTACHLIST","0"
"TBLISUISSUEATTACHMENT","0"
"TBLISUISSUECONTENT","0"
"TBLISUISSUEGROUPBASIS","0"
"TBLISUISSUEJOBBASIS","0"
"TBLISUISSUEJOBDETAIL","0"
"TBLISUISSUEJOBLOG","0"
"TBLISUISSUEJOBLOGDETAIL","0"
"TBLISUISSUEJOBMAP","0"
"TBLISUISSUEJOBMAPDETAIL","0"
"TBLISUISSUEJOBSQLLOG","0"
"TBLISUISSUEJOBSQLSTATE","0"
"TBLISUISSUEJOBSTATE","0"
"TBLISUISSUEJOBSTATEDETAIL","0"
"TBLJDS_ACCESSORY","0"
"TBLJDS_ACCESSORY_LOAD","0"
"TBLJDS_AREA","0"
"TBLJDS_AREA_OP","0"
"TBLJDS_BASE_SET","1"
"TBLJDS_BASE_SET_DETAIL","0"
"TBLJDS_CALENDAR","0"
"TBLJDS_CALENDAR_D","0"
"TBLJDS_CALENDAR_SHIFT","0"
"TBLJDS_COLOR","0"
"TBLJDS_CONFIG","0"
"TBLJDS_CUS_EQP_USER","0"
"TBLJDS_DISP_DRAFT","0"
"TBLJDS_DISPATCHED","0"
"TBLJDS_DISPATCHED_HIS","0"
"TBLJDS_DISPATCHED_WIP","0"
"TBLJDS_DISPATCHED_WIP_WORKER","0"
"TBLJDS_DISPATCHED_WORKER","0"
"TBLJDS_DRAFT_D","0"
"TBLJDS_DRAFT_WORTH","0"
"TBLJDS_EQUIPMENT","0"
"TBLJDS_FUNCTION_LIST","0"
"TBLJDS_ITEM","0"
"TBLJDS_ITEM_BALANCE","0"
"TBLJDS_ITEM_BALANCE_TYPE","0"
"TBLJDS_ITEM_OP","0"
"TBLJDS_ITEM_OP_RELATION","0"
"TBLJDS_ITEM_ROUTE","0"
"TBLJDS_ITEM_STDTIME","0"
"TBLJDS_ITEM_SUPPLY","0"
"TBLJDS_LANGUAGE","0"
"TBLJDS_LAYOUT","0"
"TBLJDS_LOT","0"
"TBLJDS_LOT_MATERIAL","0"
"TBLJDS_LOT_OP","0"
"TBLJDS_MO","0"
"TBLJDS_MO_MATERIAL","0"
"TBLJDS_OP","0"
"TBLJDS_OP_RESOURCE","0"
"TBLJDS_OVERDUE_SETTLE","0"
"TBLJDS_OVERDUE_SETTLE_D","0"
"TBLJDS_PARAM","0"
"TBLJDS_RULE","0"
"TBLJDS_SETTLE_REASON","0"
"TBLJDS_SHIFT","0"
"TBLJDS_SHIFT_OFF","0"
"TBLJDS_SHOP","0"
"TBLJDS_SHOP_CONTROL","0"
"TBLJDS_SHOP_CONTROL_D","0"
"TBLJDS_SMART","0"
"TBLJDS_SMART_D","0"
"TBLJDS_TASK","0"
"TBLJDS_TASK_LOGIC","0"
"TBLJDS_TASK_LOGIC_PARA","0"
"TBLJDS_TASK_PARA","0"
"TBLJDS_TASK_RESULT","0"
"TBLJDS_TASK_STATUS","0"
"TBLJDS_TASK_TARGET","0"
"TBLJDS_TASK_TODO","0"
"TBLJDS_TIME_AXIS","0"
